"","year","route","value","liner_freight_rate_CPI_adjusted_1995","liner_freight_rate"
"1",1967,"transpacific_eastbound",4570.85208580983,"liner freight rate (CPI adjusted to 1995)",155.424277016161
"2",1968,"transpacific_eastbound",4668.69907235621,"liner freight rate (CPI adjusted to 1995)",148.13809993699
"3",1969,"transpacific_eastbound",4694.14157411292,"liner freight rate (CPI adjusted to 1995)",143.094410522547
"4",1970,"transpacific_eastbound",4692.76453149207,"liner freight rate (CPI adjusted to 1995)",141.558307657295
"5",1971,"transpacific_eastbound",4917.69635621521,"liner freight rate (CPI adjusted to 1995)",149.891759687023
"6",1972,"transpacific_eastbound",5173.54404381674,"liner freight rate (CPI adjusted to 1995)",152.145771110888
"7",1973,"transpacific_eastbound",4215.55351829172,"liner freight rate (CPI adjusted to 1995)",151.917324007118
"8",1974,"transpacific_eastbound",4329.75183928272,"liner freight rate (CPI adjusted to 1995)",182.749805529744
"9",1975,"transpacific_eastbound",4696.33543199779,"liner freight rate (CPI adjusted to 1995)",182.68804486549
"10",1976,"transpacific_eastbound",4569.21229511137,"liner freight rate (CPI adjusted to 1995)",182.049055356759
"11",1977,"transpacific_eastbound",4558.37361083047,"liner freight rate (CPI adjusted to 1995)",178.089219430126
"12",1978,"transpacific_eastbound",5233.65775635407,"liner freight rate (CPI adjusted to 1995)",175.130983464296
"13",1979,"transpacific_eastbound",4550.98684432451,"liner freight rate (CPI adjusted to 1995)",163.916460932827
"14",1980,"transpacific_eastbound",3220.92961165049,"liner freight rate (CPI adjusted to 1995)",167.224943409499
"15",1981,"transpacific_eastbound",2740.98282481309,"liner freight rate (CPI adjusted to 1995)",166.958643215743
"16",1982,"transpacific_eastbound",2694.17802685841,"liner freight rate (CPI adjusted to 1995)",160.265467703852
"17",1983,"transpacific_eastbound",2708.21020408163,"liner freight rate (CPI adjusted to 1995)",164.632620993593
"18",1984,"transpacific_eastbound",3075.73439924574,"liner freight rate (CPI adjusted to 1995)",200.257905281843
"19",1985,"transpacific_eastbound",2667.93942037782,"liner freight rate (CPI adjusted to 1995)",203.616572358169
"20",1986,"transpacific_eastbound",2174.47534634292,"liner freight rate (CPI adjusted to 1995)",167.21273720925
"21",1987,"transpacific_eastbound",2527.027127048,"liner freight rate (CPI adjusted to 1995)",147.982298512941
"22",1988,"transpacific_eastbound",2289.2732071696,"liner freight rate (CPI adjusted to 1995)",140.938256616236
"23",1989,"transpacific_eastbound",1965.63643844635,"liner freight rate (CPI adjusted to 1995)",135.570879927985
"24",1990,"transpacific_eastbound",1906.31475727246,"liner freight rate (CPI adjusted to 1995)",124.045646193166
