"","year","route","value"
"1",1967,"transpacific_eastbound",4.37779430722147
"2",1968,"transpacific_eastbound",94.5691126245982
"3",1969,"transpacific_eastbound",197.744968857194
"4",1970,"transpacific_eastbound",249.245341087347
"5",1971,"transpacific_eastbound",358.121085507945
"6",1972,"transpacific_eastbound",627.197834807006
"7",1973,"transpacific_eastbound",777.15480100657
"8",1974,"transpacific_eastbound",863.96688599393
"9",1975,"transpacific_eastbound",950.77897098129
"10",1976,"transpacific_eastbound",1111.53823819524
"11",1977,"transpacific_eastbound",1272.29750540919
"12",1978,"transpacific_eastbound",1433.05677262314
"13",1979,"transpacific_eastbound",1498.68711817488
"14",1980,"transpacific_eastbound",1564.31746372661
"15",1981,"transpacific_eastbound",1629.94780927835
"16",1982,"transpacific_eastbound",1898.59213917526
"17",1983,"transpacific_eastbound",2167.23646907216
"18",1984,"transpacific_eastbound",2435.88079896907
"19",1985,"transpacific_eastbound",2644.73071783123
"20",1986,"transpacific_eastbound",2853.58063669339
"21",1987,"transpacific_eastbound",3062.43055555556
"22",1988,"transpacific_eastbound",2839.70833333333
"23",1989,"transpacific_eastbound",3340.83333333333
"24",1990,"transpacific_eastbound",3229.47222222222
"25",1991,"transpacific_eastbound",3173.79166666667
"26",1992,"transpacific_eastbound",3351.96944444444
"27",1993,"transpacific_eastbound",3619.23611111111
"28",1994,"transpacific_eastbound",3841.95833333333
"29",1995,"transpacific_eastbound",4009
"30",1996,"transpacific_eastbound",4104
"31",1997,"transpacific_eastbound",4660
"32",1998,"transpacific_eastbound",5220
"33",1999,"transpacific_eastbound",5840
"34",2000,"transpacific_eastbound",5590
"35",2001,"transpacific_eastbound",5760
"36",2002,"transpacific_eastbound",8810
"37",2003,"transpacific_eastbound",10190
"38",2004,"transpacific_eastbound",12400
"39",2005,"transpacific_eastbound",13900
"40",2006,"transpacific_eastbound",15000
"41",2007,"transpacific_eastbound",15400
"42",1967,"transpacific_westbound",2.09120156067685
"43",1968,"transpacific_westbound",45.1741361137414
"44",1969,"transpacific_westbound",94.4595744957735
