"","operator","route","market_level_route","cartel_transpacific_dummy","cartel_transatlantic_dummy","cartel_asia_and_europe_dummy"
"1","AAEL","Port/USEC/GC/W Af/Port","transatlantic",FALSE,FALSE,FALSE
"2","ABC","ANZ/ECNA/Eir/Sing/ANZ","transpacific",FALSE,FALSE,FALSE
"3","ABC","ANZ/ECNA/Eur/Sing","all_routes",FALSE,FALSE,FALSE
"4","ABC","ANZ/ECNA/Eur/ANZ","transatlantic",FALSE,FALSE,FALSE
"5","ACL","ECNA/Eur/Scand","transatlantic",FALSE,FALSE,FALSE
"6","ACS","Eur/USEC/GC","transatlantic",FALSE,FALSE,FALSE
"7","Admiral Lines","Eur/Indo","europe_and_asia",FALSE,FALSE,FALSE
"8","Alianca","ECSA/Eur","transatlantic",FALSE,FALSE,FALSE
"9","AmTrans","Eur/USEC","transatlantic",FALSE,FALSE,FALSE
"10","APL","FE/Jap/PSW","transpacific",FALSE,FALSE,FALSE
"11","ARPA Shpp","Can/Eur","transatlantic",FALSE,FALSE,FALSE
"12","Atlantic Lash","Eur/USGC","transatlantic",FALSE,FALSE,FALSE
"13","BCL","NE/USEC","transatlantic",FALSE,FALSE,FALSE
"14","Ben Line","Eur/SE Asia","europe_and_asia",FALSE,FALSE,FALSE
"15","Blasco","Bl Sea/Med/FE/Jap","europe_and_asia",FALSE,FALSE,FALSE
"16","Booth","UK/Can Is/Carib/ECSA","transatlantic",FALSE,FALSE,FALSE
"17","Brisa","ECSA/Eur","transatlantic",FALSE,FALSE,FALSE
"18","BSC","Eur/FE","europe_and_asia",FALSE,FALSE,FALSE
"19","BSC","Can/Eur","transatlantic",FALSE,FALSE,FALSE
"20","Canisa","ECSA/FE","transpacific",FALSE,FALSE,FALSE
"21","Canmar","Can/Eur","transatlantic",FALSE,FALSE,FALSE
"22","Canmar/OOCL","Can/Eur","transatlantic",TRUE,FALSE,TRUE
"23","Caribtainer","Carib/Eur","transatlantic",FALSE,FALSE,FALSE
"24","Cast","Can/Eur","transatlantic",FALSE,FALSE,FALSE
"25","CCL","ECSA/Med","transatlantic",FALSE,FALSE,FALSE
"26","CCNI","Eur/WCSA/Med","transatlantic",FALSE,FALSE,FALSE
"27","CCNI","FE/Jap/WCSA","transpacific",FALSE,FALSE,FALSE
"28","CD","Carib/Med","transatlantic",FALSE,FALSE,FALSE
"29","CGM","Carib/Eur","transatlantic",FALSE,FALSE,FALSE
"30","CGM","Eur/Ind Oc","europe_and_asia",FALSE,FALSE,FALSE
"31","Chipolbrok","Eur/PRC","europe_and_asia",FALSE,FALSE,FALSE
"32","Cho Yang","Eur/FE/Jap","europe_and_asia",FALSE,FALSE,FALSE
"33","Ciamar","ECSA/Eur","transatlantic",FALSE,FALSE,FALSE
"34","CMA","Eur/Mid-East/FE","europe_and_asia",FALSE,FALSE,FALSE
"35","CMB","Eur/Mid-East/Ind Oc","europe_and_asia",FALSE,FALSE,FALSE
"36","CMB","ECSA/Eur","transatlantic",FALSE,FALSE,FALSE
"37","Comanav","Can Is/Eur","transatlantic",FALSE,FALSE,FALSE
"38","Conship","Eur/Mid-East/Ind","europe_and_asia",FALSE,FALSE,FALSE
"39","Constellation","NE/Med/USEC","transatlantic",FALSE,FALSE,FALSE
"40","Contemaris","Eur/Can Is/N Af","transatlantic",FALSE,FALSE,FALSE
"41","Contenemar","Can Is/Sp","transatlantic",FALSE,FALSE,FALSE
"42","Contship","Med/Eur/US/ANZ/FE/Med","europe_and_asia",FALSE,FALSE,FALSE
"43","Contship","Med/PR/USGC","transatlantic",FALSE,FALSE,FALSE
