"","page","ship_id","vessel_name","flag","built_year","capacity_TEU","ship_type","speed_knots","owner","operator","service","route"
"1",1,1,"Abidjan Star",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,2,"Acadia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,3,"Act 1","UK","69",1414,"FC","19.5","BSL/Ellerman/Port Line","ACT(A)","ANL/Anzecs","ANZ/Med"
"4",NA,4,"Act 2","UK","69",1414,"FC","19.5","BSL/Ellerman/Port Line","ACT(A)","ANZ/Med","ANZ/Med"
"5",NA,5,"Act 3","UK","71",1308,"FC","18.3","BSL/Ellerman/Port Line","ACT(A)","Pace/Columbus","ANZ/ECNA"
"6",NA,6,"Act 4","IM","71",1308,"FC","18.3","BSL/Ellerman/Port Line","ACT(A)","Pace/Columbus","ANZ/ECNA"
"7",NA,7,"Act 5","UK","72",1308,"FC","18.3","BSL/Ellerman/Port Line","ACT(A)","Pace/Columbus","ANZ/ECNA"
"8",NA,8,"Act 6","UK","72",1334,"FC","18.3","BSL/Ellerman/Port Line","ACT(A)","Pace/Columbus","ANZ/ECNA"
"9",NA,9,"Act 7","UK","77",2267,"FC","20.5","BSL/Ellerman/Port Line","ACT(A)","ANL/Anzecs","ANZ/Eur"
"10",NA,10,"Adam Mickeiwicz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,11,"Addiriyah","Saud","79",1160,"FC","17.7","UASC","UASC","UASC","Mid-East/USEC/GC"
"12",NA,12,"Adrian Maersk","DIS","76j78j84",1800,"RC","22","AP Moller","Maersk","MECL","Mid-East/Med/USEC/GC"
"13",NA,13,"Advara",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,14,"Adviser",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,15,"Africa","It","77",1447,"FC","19","LT","LT","Saecs","Med/S Af"
"16",NA,16,"Africa Maru",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,17,"African Soul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,18,"Aguadilla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,19,"AI Wattyah",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,20,"Alaska Maru","Jap","73j85",1803,"FC","21.7","MOL","MOL","Trio","Eur/SE Asia"
"21",NA,21,"Albert Maersk","Den","75j78c84",1800,"RC","22","Svendborg 1912","Maersk","MECL","Mid-East/Med/USEC/GC"
"22",NA,22,"Aldebaran",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,23,"Alemania Express","WG","78",1582,"FC","20","Hapag-Lloyd","Hapag-Lloyd","CGM/GCL/Hapag-Lloyd","Eur/USGC"
"24",NA,24,"Alltrans Enterprise",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,25,"Alltrans Express",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,26,"Allunga",NA,"71",1200,"RR","22",NA,"PAD Liner",NA,"WCNA/Aus"
"27",NA,27,"Almeria Lykes","US","68c72",1112,"CC","20.399999999999999","APL","Lykes","Lykes","Med/USEC/GC"
"28",NA,28,"Alster Express",NA,"68",1114,"FC","19",NA,"Hapag-Lloyd",NA,"Europe/USEC"
"29",NA,29,"Alva Maersk","Sing","76j78j85",2040,"FC","22","Maersk(Singapore)","Maersk","MECL","Mid-East/Med/USEC/GC"
"30",NA,30,"America Express","WG","78",1582,"FC*","20","Hapag-Lloyd","Hapag-Lloyd","CGM/GCL/Hapag-Lloyd","Eur/USGC"
"31",NA,31,"America Maru","Jap","82",1892,"FC","22.3","MOL","MOL","MOL/NYK","FE/Jap/PNW"
"32",NA,32,"American Accord",NA,"71",929,"FC","20",NA,"United States Lines",NA,"Europe/USEC"
"33",NA,33,"American Ace",NA,"70",929,"FC","20",NA,"United States Lines",NA,"Europe/USEC"
"34",NA,34,"American Alliance",NA,"70",929,"FC","20",NA,"United States Lines",NA,"Europe/USEC"
"35",NA,35,"American Apollo",NA,"70",1210,"FC","22",NA,"United States Lines",NA,"EWCUS/JFE"
"36",NA,36,"American Aquarius",NA,"71",1219,"FC","22",NA,"United States Lines",NA,"EWCUS/JFE"
"37",NA,37,"American Archer",NA,"70",929,"FC","20",NA,"United States Lines",NA,"Europe/USEC"
"38",NA,38,"American Argosy",NA,"70",929,"FC","20",NA,"United States Lines",NA,"EWCUS/JFE"
"39",NA,39,"American Astronaut",NA,"69",1210,"FC","22",NA,"United States Lines",NA,"EWCUS/JFE"
"40",NA,40,"American Lancer",NA,"68",1210,"FC","22",NA,"United States Lines",NA,"EWCUS/JFE"
"41",NA,41,"American Lark",NA,"69",1210,"FC","22",NA,"United States Lines",NA,"EWCUS/JFE"
"42",2,42,"American Leader",NA,"70",929,"FC","20",NA,"United States Lines",NA,"Europe/USEC"
"43",NA,43,"American Legacy",NA,"71",929,"FC","20",NA,"United States Lines",NA,"Europe/USEC"
"44",NA,44,"American Legend",NA,"70",929,"FC","20",NA,"United States Lines",NA,"Europe/USEC"
"45",NA,45,"American Legion",NA,"68",1210,"FC","22",NA,"United States Lines",NA,"EWCUS/JFE"
"46",NA,46,"American Liberty",NA,"69",1210,"FC","22",NA,"United States Lines",NA,"EWCUS/JFE"
"47",NA,47,"American Lynx",NA,"69",1210,"FC","22",NA,"United States Lines",NA,"EWCUS/JFE"
"48",NA,48,"American Trader",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,49,"Americana","Pan","88",1120,"FC*","19.2","Ivaran","Ivaran","Ivaran","ECNA/ECSA"
"50",NA,50,"Anchorage",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,51,"Anders Maersk","DIS","76j78j83",2040,"FC*","24","AP Moller","Maersk","PNW Oakland Express","FE/Jap/USWC"
"52",NA,52,"Anderso",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,53,"Andros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,54,"Anemos","Gr","76",600,"FC","16.5","Kyklamar",NA,NA,NA
"55",NA,55,"Anna Maersk","DIS","75j78j84",2040,"FC","24","AP Moller","Maersk","Maersk","Eur/FE/Jap"
