"","operator","market_level_route","cartel_dummy"
"1","ABC Container Line","Transatlantic","noncartel"
"2","Admiral Lines","Asia and Eur","noncartel"
"3","Admiral Shipping","Asia and Eur","noncartel"
"4","Alianca","Transatlantic","noncartel"
"5","America-Africa-Europe Line","Transatlantic","noncartel"
"6","American Export Lines","Transatlantic","noncartel"
"7","American Export Lines","Transpacific","noncartel"
"8","American Mail Line","Transpacific","noncartel"
"9","American President Lines","Transpacific","cartel"
"10","AmTrans","Transatlantic","noncartel"
"11","Arpa Shipping BV","Transatlantic","noncartel"
"12","Atkabtuca SpA","Transatlantic","noncartel"
"13","Atlantic Cargo Service","Transatlantic","noncartel"
"14","Atlantic Cargo Services AB","Transatlantic","noncartel"
"15","Atlantic Container Line","Transatlantic","cartel"
"16","Atlantic Container Line AB","Transatlantic","cartel"
"17","Atlantic Lash","Transatlantic","noncartel"
"18","Atlanttrafik/Barber Blue Sea","Transpacific","cartel"
"19","Australian National Line/Associated Container Transportation Australia","Asia and Eur","noncartel"
"20","Baltatlantic","Transatlantic","noncartel"
"21","Baltic Shipping Co A/S","Transatlantic","noncartel"
"22","Bank Line","Transatlantic","noncartel"
"23","Bank Line","Transpacific","noncartel"
"24","Barber Blue Sea Line","Transpacific","cartel"
"25","Ben Line","Asia and Eur","noncartel"
"26","Bermuda Container Line","Transatlantic","noncartel"
"27","Blasco","Asia and Eur","noncartel"
"28","Blasco","Transatlantic","noncartel"
"29","Blue Funnel Kine","Asia and Eur","noncartel"
"30","Booker Line Ltd","Transatlantic","noncartel"
"31","Booth","Transatlantic","noncartel"
"32","Brisa","Transatlantic","noncartel"
"33","BSC","Asia and Eur","noncartel"
"34","BSC","Transatlantic","noncartel"
"35","Canisa","Transpacific","noncartel"
"36","Canmar","Transatlantic","noncartel"
"37","Canmar/OOCL","Transatlantic","cartel"
"38","Caribtainer","Transatlantic","noncartel"
"39","Cast Line","Transatlantic","noncartel"
"40","CC Line","Transpacific","noncartel"
"41","CCL","Transatlantic","noncartel"
"42","CD","Transatlantic","noncartel"
"43","Chargeurs Reunis","Asia and Eur","cartel"
"44","Chipolbrok","Asia and Eur","noncartel"
"45","Cho Yang","Asia and Eur","cartel"
"46","Cia Transatlantica Espanola","Transatlantic","noncartel"
"47","Ciamar","Transatlantic","noncartel"
"48","Cie Generale Maritime","Asia and Eur","cartel"
"49","Cie Generale Maritime","Transatlantic","cartel"
"50","Combi Line","Transatlantic","noncartel"
"51","Compagnie Generale Maritime","Transatlantic","noncartel"
"52","Compagnie Maritime Belge","Asia and Eur","noncartel"
"53","Compagnie Maritime Belge","Transatlantic","noncartel"
"54","Compagnie maritime d'affretement","Asia and Eur","noncartel"
"55","Compania Chilena de Navegacion Interoceanica","Transatlantic","noncartel"
"56","Compania Chilena de Navegacion Interoceanica","Transpacific","noncartel"
"57","Compania SudAmericana de Vapores SA","Transatlantic","noncartel"
"58","Compania SudAmericana de Vapores SA","Transpacific","noncartel"
"59","Conship","Asia and Eur","noncartel"
"60","Constellation","Transatlantic","noncartel"
