"","flag","owner","operator","service","cartel_member_dummy"
"1","Alg","SNTM/CNAN","CNAN","CNAN",0
"2","Ang","Angonave","Angonave","Angonave",0
"3","Ant","Antje","Meng Horng","Meng Horng",0
"4","Ant","Arfert&Bendig",NA,NA,0
"5","Ant","Berulan Reed","ScanDutch","ScanDutch",0
"6","Ant","Buxmar Shpp","POL","POL Feeder",0
"7","Ant","Calypso","NYK","Concord Express",0
"8","Ant","Carolina Int Shpp","Sea-Land","Sea-Land",0
"9","Ant","Contimar","Contimar","Contimar",0
"10","Ant","Contimar",NA,NA,0
"11","Ant","D Behrens","Borchard","Borchard/Zim",0
"12","Ant","D Behrens","ScanDutch","ScanDutch",0
"13","Ant","Deneb","DSS","DSS/SNG",0
"14","Ant","Doris","Falcon","Falcon",0
"15","Ant","EA-Shipping Lines",NA,NA,0
"16","Ant","Eckert Kg","CD","CD",0
"17","Ant","Firma SAL","Sinotrans","Sinotrans",0
"18","Ant","Firrna SAL","Scott","Scott",0
"19","Ant","G  Oltmann","Norasia","Norasia",0
"20","Ant","G Oltmann",NA,NA,0
"21","Ant","G&U Bereederungs","Contemaris","Contemaris",0
"22","Ant","Gcorg Peterson",NA,NA,0
"23","Ant","Groden Schiff",NA,NA,0
"24","Ant","H Buss",NA,NA,0
"25","Ant","H Buss","CD","CD",0
"26","Ant","H Kohirausch",NA,NA,0
"27","Ant","H Nagel","UTL","UTL",0
"28","Ant","H Peterson","Maersk","Maersk",0
"29","Ant","H Striesow","OPDR","OPDR",0
"30","Ant","H Szidat","Mac Andrews","Pegasus MacAndrews",0
"31","Ant","H Thielemann","Universal Africa","Universal Africa",0
"32","Ant","H Winter",NA,NA,0
"33","Ant","H Winter","Canadian Tropic","Canadian Tropic",0
"34","Ant","Hans Eckhoff","UTL","UTL",0
"35","Ant","Hans H Knueppel","Eimskip","Eimskip",0
"36","Ant","Hans Schirren","Bugsier","Bugsier",0
"37","Ant","Hermann Buss",NA,NA,0
"38","Ant","J Heeren","Transinsular","Transinsular",0
"39","Ant","J Heeren","GAC","Evergreen/GAC",0
"40","Ant","Johann Heeren",NA,NA,0
"41","Ant","Jungerhans","Comanav","Comanav",0
"42","Ant","Kattrepel Schiff",NA,NA,0
"43","Ant","Kenmare Shpp Ltd","Dragon","Dragon",0
"44","Ant","KH Danz","Dragon European","Dragon European",0
"45","Ant","M Spaleck",NA,NA,0
"46","Ant","M Spaleck","Ford","Ford",0
"47","Ant","Nordenhamer Berced","Sotonam","Sotonam",0
"48","Ant","Nordenhamer Bereed","Lys","Lys",0
"49","Ant","Nordenhamer Bereed","Merzario","Euroasia/Tiger Express",0
"50","Ant","OPDR","OPDR","OPDR",0
"51","Ant","Osterheide","Mac Andrews","Pegasus Mac Andrews",0
"52","Ant","P Dohle","Zim","CCL",0
"53","Ant","Part Anglia","FW","CE/ML/Prince",0
"54","Ant","Part Dorado","Eimskip","Eimskip",0
"55","Ant","Part Erika",NA,NA,0
"56","Ant","Part Hornburg","Celtic Container","Celtic Container",0
"57","Ant","Part Iise",NA,NA,0
"58","Ant","Part Loga","Comar","Comar",0
"59","Ant","Part Orion","Borchard","Borchard/Zim",0
"60","Ant","Part Reykjafoss","Eimskip","Eimskip",0
"61","Ant","Part Robin Hood","ScanDutch","ScanDutch",0
"62","Ant","Part Tinto",NA,NA,0
"63","Ant","Parten Ostebay","Eimskip","Eimskip",0
"64","Ant","Peter  Dohle","Eimskip","Eimskip",0
"65","Ant","Peterson","APL","SAS",0
"66","Ant","Reed Gebr Eckert","Contemaris","Contemaris",0
"67","Ant","RMS","Nedlloyd","Carib feeder",0
"68","Ant","Rolf R Fischer","OPDR","Alportugal",0
"69","Ant","Rubin Shpp",NA,NA,0
"70","Ant","Sandfirden BV",NA,NA,0
"71","Ant","Schepers&Co KG","Euro-Gulf","Euro-Gulf/Tecomar",0
"72","Ant","Sirius","EWL","EWL",0
"73","Ant","Sprante Schiff",NA,NA,0
"74","Ant","Spranteland",NA,NA,0
"75","Ant","Taurus Schiff","Rheintainer","Rheintainer",0
"76","Ant","Von Roenn","WAKL","AXCL",0
"77","Ant","W Baum",NA,NA,0
"78","Ant","W Grages","OPDR","OPDR",0
"79","Ant","W Moller","Lloyd Bermuda","Lloyd Bermuda",0
"80","Ant","Walter Bartels","OPDR","OPDR",0
"81","Ant","Wessels",NA,NA,0
"82","Ant",NA,NA,NA,0
"83","Ant",NA,"Perkins Shpp","Perkins Shpp",0
"84","Arg","A Bottacchi","A Bottacchi","A Bottacchi",0
"85","Arg","A Bottacchi",NA,NA,0
"86","Arg","Caltram","Caltram","Caltram",0
"87","Arg","Canisa","Canisa","Canisa",0
"88","Arg","Ciamar","Ciamar","Ciamar",0
"89","Arg","Cormoran","Cormoran","Cormoran",0
"90","Arg","Elma","Elma","Elma",0
"91","Arg","Elma","Elma","Eurosacs",0
"92","Arg","Elma","Elma","A Bottacchi/Elma",0
"93","Arg","Elma","Elma","Medsacs",0
"94","Arg","Galtram","Galtram","Galtram",0
"95","Arg","Maruba","Maruba","Maruba",0
"96","Arg",NA,NA,NA,0
"97","Aus","Ariberg Oster",NA,NA,0
"98","Aus","Inn",NA,NA,0
"99","Aust","ANL","ANL","Anro",0
"100","Aust","ANL","ANL","Anline",0
"101","Aust","ANL","ANL","Tasman Seacargo/Tranztas",0
"102","Aust","ANL","ANL","ANL/Anzecs",0
"103","Aust","ANL","ANL","ANL(coastal)",0
"104","Aust","ANL","ANL","Tranztas",0
"105","Aust","Baltimar Corp","Stateships","Stateships",0
"106","Aust","Baltimore Corp","Stateships","Islands&SE Asia",0
"107","Aust","Baltimore Corp","Stateships","Hobart Express",0
"108","Aust","BHP","BHP","BHP",0
"109","Aust","BHP",NA,NA,0
"110","Aust","Brambles",NA,NA,0
"111","Aust","J Burke Shpp","J Burke Shpp","J Burke Shpp",0
"112","Aust","K/S Difko I","Stateships","East West Service",0
"113","Aust","K/S Difko II","Stateships","North West Service",0
"114","Aust","Ropner Shpp","BHP","BHP",0
"115","Aust","UASC","ANL","AJCL/ESS/KASS/MOL/NLS/NYK",0
"116","Aust","Union Shpp(Aust)","Union Shpp(Aust)","Seaway",0
"117","Aust",NA,NA,NA,0
"118","Bah","African Trading Corp","Cobelfret","G&C Line",0
"119","Bah","Anaconda Mar","Wan Hai","Korea&North Kyushu",0
"120","Bah","Anangel Okim","Neptuno","CSAV/Neptuno",0
"121","Bah","Anglia Shpp Corp","British Continental","British Continental",0
"122","Bah","Arethousa Shpp","Eurosteel","Eurosteel",0
"123","Bah","Asby Shpp",NA,NA,0
"124","Bah","AT Stream SA","Laser Lines","Laser Stream",0
"125","Bah","Atlantic Searoute","Atlantic Searoute","Atlantic Searoute",0
"126","Bah","Azure Sands Shpp",NA,NA,0
"127","Bah","Bahia Shpp","Tecmarine","Tecmarine",0
"128","Bah","Balance Freight Srvs",NA,NA,0
"129","Bah","Baltimar Overseas","Heung-A","Heung-A",0
"130","Bah","Baltimar Overseas","BXCL","Madras Service",0
"131","Bah","Baltimar Overseas",NA,NA,0
"132","Bah","Bancrof Shpp",NA,NA,0
"133","Bah","Bay Island Shpp","Thompson","Thompson",0
"134","Bah","Bernice Shpp Ltd",NA,NA,0
"135","Bah","Bos Freeway Shpp",NA,NA,0
