"","operator","market","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992"
"1","d'Amico","Transatlantic",2,2,2,2,2,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,7,7,7,7,7
"2","Farrell Lines","Transatlantic",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Grancolombiana","Transatlantic",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4","Lykes Lines","Transatlantic",4,4,4,5,6,6,6,9,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"5","Moore-McCormack Lines Inc","Transatlantic",6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Sea-Land","Transatlantic",4,4,4,6,10,12,17,18,22,24,24,24,24,24,24,24,24,24,24,28,36,36,36,36,36,36,36,36
"7","Star Shipping","Transatlantic",3,3,3,7,9,12,12,12,13,13,13,13,17,20,20,20,20,20,20,21,21,25,26,26,26,26,26,26
"8","United States Lines","Transatlantic",3,3,3,6,9,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,NA,NA,NA,NA,NA,NA,NA
"9","Farrell Lines","Transpacific",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Galleon","Transpacific",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"11","Knutsen Line","Transpacific",1,1,1,1,1,2,6,6,6,6,6,6,6,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Lykes Lines","Transpacific",4,4,4,4,4,4,4,4,4,4,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"13","Matson","Transpacific",4,4,4,4,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Seatrain Lines","Transatlantic",NA,3,10,11,11,12,15,18,18,18,18,20,20,21,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Maersk","Asia and Eur",NA,NA,1,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,7,7,7,9,9,9,9,9,9
"16","ScanDutch","Asia and Eur",NA,NA,1,1,1,1,1,4,8,9,9,12,13,13,14,14,14,14,17,19,19,20,20,20,20,20,20,20
"17","Atlantic Container Line","Transatlantic",NA,NA,4,4,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,14,15,15,15,15,15
"18","Cie Generale Maritime","Transatlantic",NA,NA,1,1,1,1,1,1,1,1,1,1,3,5,6,8,9,9,9,9,9,9,9,9,9,NA,NA,NA
"19","GSAL","Transatlantic",NA,NA,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
"20","Ybarra","Transatlantic",NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
"21","Hoegh Lines","Transpacific",NA,NA,1,3,3,5,5,5,5,5,5,5,5,5,9,9,9,9,9,12,12,12,12,12,12,12,12,12
"22","Maersk","Transpacific",NA,NA,1,3,4,4,4,7,7,8,8,8,8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"23","Hapag-Lloyd","Transatlantic",NA,NA,NA,4,4,4,4,4,4,4,4,5,9,12,15,17,17,17,17,18,19,19,19,19,19,19,19,19
"24","Manchester Liners","Transatlantic",NA,NA,NA,3,4,4,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,NA,NA,NA
"25","American Mail Line","Transpacific",NA,NA,NA,3,5,5,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","American President Lines","Transpacific",NA,NA,NA,4,8,8,8,22,25,25,25,25,25,26,26,26,27,28,28,28,28,28,28,28,28,28,28,28
"27","Japanese joint service","Transpacific",NA,NA,NA,6,7,10,12,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
"28","NYK","Transpacific",NA,NA,NA,1,1,1,1,2,3,5,5,7,7,9,9,10,10,11,11,14,14,19,22,22,22,22,22,22
"29","Star Shipping","Transpacific",NA,NA,NA,1,2,5,5,5,5,5,5,5,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
