,page???????????????,operator,market_level_route,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
1,3,d'Amico,Transatlantic,2,2,2,2,2,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,7,7,7,7,7
2,,Farrell Lines,Transatlantic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
3,,Grancolombiana,Transatlantic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,??2-3,Lykes Lines,Transatlantic,4,4,4,5,6,6,6,E,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
5,3,Moore-McCormack Lines Inc,Transatlantic,6,E,6,6,6,X,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,3,Sea-Land,Transatlantic,4,E,4,6,10,12,17,18,22,24,24,24,24,24,24,24,24,24,24,28,36,36,36,36,36,36,36,36
7,,Star Shipping,Transatlantic,3,3,3,7,9,12,12,12,13,13,13,13,17,20,20,20,20,20,20,21,21,25,26,26,26,26,26,26
8,3,United States Lines,Transatlantic,3,E,3,6,9,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
9,,Farrell Lines,Transpacific,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10,,Galleon,Transpacific,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11,??2-1,Knutsen Line,Transpacific,1,1,1,1,1,E,6,6,6,6,6,6,6,7,7,7,7,X,7,7,7,7,7,7,7,7,7,7
12,??2-1,Lykes Lines,Transpacific,4,4,4,4,4,4,4,E,4,4,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
13,4,Matson,Transpacific,4,4,E,4,8,8,8,8,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
14,,Jadroplov,Transatlantic,NA,1,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15,3,Seatrain Lines,Transatlantic,NA,3,10,11,E,12,15,18,18,18,18,20,20,21,26,26,X,26,26,26,26,26,26,26,26,26,26,26
16,??2-2,Maersk,Asia and Europe,NA,NA,1,4,4,4,4,4,4,4,4,4,4,4,5,E,5,6,6,7,7,7,9,9,9,9,9,9
17,4,ScanDutch,Asia and Europe,NA,NA,1,1,1,1,4,E,8,9,9,12,13,13,14,14,14,14,17,19,19,20,20,20,20,20,20,20
18,3,Atlantic Container Line,Transatlantic,NA,NA,E,4,8,10,10,11,11,11,11,11,11,15,15,15,15,15,15,15,16,16,19,20,20,20,20,20
19,,Baltic Shipping Co,Transatlantic,NA,NA,1,2,2,2,2,3,3,8,10,13,16,18,21,21,21,21,21,21,21,21,21,21,21,21,21,21
20,,Cie Generale Maritime,Transatlantic,NA,NA,1,1,1,1,1,1,1,1,1,2,4,6,7,E,10,10,10,10,10,10,10,10,10,10,10,10
21,,GSAL,Transatlantic,NA,NA,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
22,,Ybarra,Transatlantic,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
23,,Hoegh Lines,Transpacific,NA,NA,1,3,3,5,5,5,5,5,5,5,5,5,9,9,9,9,9,12,12,12,12,12,12,12,12,12
24,??2-1,Maersk,Transpacific,NA,NA,1,3,4,4,4,7,7,8,E,8,8,15,15,E,15,15,15,15,15,15,15,15,15,15,15,15
25,3,Hapag-Lloyd,Transatlantic,NA,NA,NA,E,4,4,4,4,4,4,4,5,9,12,15,17,17,17,17,18,19,19,19,19,19,19,19,19
26,3,Manchester Liners,Transatlantic,NA,NA,NA,E,4,4,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
27,,American Mail Line,Transpacific,NA,NA,NA,3,5,5,5,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
28,??2-1,American President Lines,Transpacific,NA,NA,NA,E,8,8,8,22,25,25,25,25,25,26,26,26,27,28,28,28,28,28,28,28,28,28,28,28
29,4,Japanese joint service,Transpacific,NA,NA,NA,E,7,10,12,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
30,4,NYK,Transpacific,NA,NA,NA,E,1,1,1,2,3,5,5,7,7,9,9,10,10,11,11,14,14,19,22,22,22,22,22,22
31,,Star Shipping,Transpacific,NA,NA,NA,1,2,5,5,5,5,5,5,5,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
32,3,American Export Lines,Transatlantic,NA,NA,E,NA,4,5,E,7,8,8,8,8,8,M,8,8,8,8,8,8,8,8,8,8,8,8,8,8
33,3,Cast Line,Transatlantic,NA,NA,NA,NA,E,1,1,1,1,2,2,2,3,6,7,7,7,10,11,11,11,11,11,11,11,11,11,11
34,3,CP Ships,Transatlantic,NA,NA,NA,NA,E,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
35,??2-3,Johnson-Scanstar,Transatlantic,NA,NA,NA,NA,E,4,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
36,,Johnson Line,Transatlantic,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
37,,Joon Liner,Transatlantic,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4
38,,Marasia,Transatlantic,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,,UAL,Transatlantic,NA,NA,NA,NA,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
40,,Uiterwyck Lines,Transatlantic,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
