"","operator","market","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992"
"1","d'Amico","Transatlantic",240,240,240,240,240,522,722,722,722,722,722,722,722,722,1862,1862,1862,1862,1862,1862,1862,3062,3062,3987,3987,3987,3987,3987
"2","Farrell Lines","Transatlantic",267,267,267,267,267,267,267,267,267,267,267,267,267,267,1337,2557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Grancolombiana","Transatlantic",189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
"4","Lykes Lines","Transatlantic",1064,1064,1064,1550,1816,1816,1816,5840,13812,13812,13812,13812,14574,14574,14574,14574,14574,14574,14574,14574,14574,14574,14574,14574,14574,14574,14574,14574
"5","Moore-McCormack Lines Inc","Transatlantic",3540,3540,3540,3540,3540,3540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Sea-Land","Transatlantic",3384,3384,3384,4595,6863,7992,13791,15791,22421,25077,25077,25077,25077,25077,25077,25077,25077,25077,25077,38901,66549,66549,66549,66549,66549,66549,66549,66549
"7","Star Shipping","Transatlantic",1044,1044,1044,3292,4890,7832,7832,7832,8631,8631,8631,8631,15225,19257,19257,19257,19257,19257,19257,21657,21657,27777,29806,29806,29806,29806,29806,29806
"8","United States Lines","Transatlantic",696,696,696,4262,7892,15635,17804,17804,17804,17804,17804,17804,17804,17804,17804,17804,17804,17804,17804,17804,17804,NA,NA,NA,NA,NA,NA,NA
"9","Farrell Lines","Transpacific",801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Galleon","Transpacific",953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953
"11","Knutsen Line","Transpacific",314,314,314,314,314,628,1779,1779,1779,1779,1779,1779,1779,2582,2582,2582,2582,2582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Lykes Lines","Transpacific",1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,2664,3464,3464,3464,3464,3464,3464,3464,3464,3464,3464,3464,3464,3464,3464,3464,3464
"13","Matson","Transpacific",3216,3216,3216,3216,8886,8886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Seatrain Lines","Transatlantic",NA,700,3494,4194,4194,6114,10836,14537,14537,14537,14537,15891,15891,17971,21658,21658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Maersk","Asia and Eur",NA,NA,500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,4700,4700,4700,7200,7200,10200,10200,10200,16200,16200,16200,16200,16200,16200
"16","ScanDutch","Asia and Eur",NA,NA,260,260,260,260,260,7816,19032,20574,20574,23806,25440,25440,28136,28136,28136,28136,33866,38993,38993,40705,40705,40705,40705,40705,40705,40705
"17","Atlantic Container Line","Transatlantic",NA,NA,3044,3044,6908,8840,8840,8840,8840,8840,8840,8840,8840,8840,8840,8840,8840,8840,8840,8840,11434,11434,20167,23078,23078,23078,23078,23078
"18","Cie Generale Maritime","Transatlantic",NA,NA,181,181,181,181,181,181,181,181,181,181,2857,5685,7185,8606,10073,10073,10073,10073,10073,10073,10073,10073,10073,NA,NA,NA
"19","GSAL","Transatlantic",NA,NA,892,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1654,1654,1654,1654,1654,1654,1654,1654,1654,1654,1654,1654
"20","Ybarra","Transatlantic",NA,NA,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,1729,1729,1729,1729,1729,1729
"21","Hoegh Lines","Transpacific",NA,NA,200,600,600,1000,1000,1000,1000,1000,1000,1000,1000,1000,5600,5600,5600,5600,5600,10580,10580,10580,10580,10580,10580,10580,10580,10580
"22","Maersk","Transpacific",NA,NA,500,1500,2000,2000,2000,3425,3425,6025,6025,6025,6025,15825,15825,15825,15825,15825,15825,15825,15825,15825,15825,15825,15825,15825,15825,15825
"23","Hapag-Lloyd","Transatlantic",NA,NA,NA,4456,4456,4456,4456,4456,4456,4456,4456,5658,11814,16528,19381,21585,21585,21585,21585,23766,26360,26360,26360,26360,26360,26360,26360,26360
"24","Manchester Liners","Transatlantic",NA,NA,NA,1360,1812,1812,2558,2558,2853,3407,3407,3407,3407,3407,3407,3407,3407,3407,3407,3407,3407,3407,3407,3407,3407,NA,NA,NA
"25","American Mail Line","Transpacific",NA,NA,NA,1161,1935,1935,1935,4617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","American President Lines","Transpacific",NA,NA,NA,1585,2837,2837,2837,16988,20426,20426,20426,20426,20426,22210,22210,22210,24910,27810,27810,27810,27810,27810,27810,27810,27810,27810,27810,27810
"27","Japanese joint service","Transpacific",NA,NA,NA,4654,6538,9553,12590,18761,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400
"28","NYK","Transpacific",NA,NA,NA,851,851,851,851,2710,4536,7090,7090,7990,7990,10668,10668,11035,11035,11791,11791,15653,15653,28538,36570,36570,36570,36570,36570,36570
"29","Star Shipping","Transpacific",NA,NA,NA,562,1361,3758,3758,3758,3758,3758,3758,3758,5102,7790,7790,7790,7790,7790,7790,7790,7790,7790,7790,7790,7790,7790,7790,7790
"30","American Export Lines","Transatlantic",NA,NA,NA,NA,3500,4570,4570,6710,7780,7780,7780,7780,7780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Cast Line","Transatlantic",NA,NA,NA,NA,352,352,352,352,352,952,952,952,1664,4012,4784,4784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","CP Ships","Transatlantic",NA,NA,NA,NA,322,1101,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659
"33","Johnson-Scanstar","Transatlantic",NA,NA,NA,NA,1522,3044,6587,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,NA,NA,NA
"34","Johnson Line","Transatlantic",NA,NA,NA,NA,855,1710,1710,1710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Joon Liner","Transatlantic",NA,NA,NA,NA,620,620,620,620,620,620,620,620,620,620,620,620,1192,1192,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356
"36","Marasia","Transatlantic",NA,NA,NA,NA,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
