"","operator","market_level_route","num_of_ships","total_tonnage"
"1","ABC","all_routes",7,10700
"2","Evergreen","all_routes",45,111448
"3","Maersk","all_routes",29,75422
"4","SCI","all_routes",28,9335
"5","Senator","all_routes",12,17880
"6","Yangming","all_routes",18,44120
"7","Zim","all_routes",32,39982
"8","Admiral Lines","europe_and_asia",1,218
"9","Ben Line","europe_and_asia",3,9096
"10","Blasco","europe_and_asia",33,20938
"11","BSC","europe_and_asia",32,20682
"12","CGM","europe_and_asia",9,10570
"13","Chipolbrok","europe_and_asia",20,10023
"14","Cho Yang","europe_and_asia",4,9694
"15","CMA","europe_and_asia",8,13703
"16","CMB","europe_and_asia",11,11593
"17","Conship","europe_and_asia",1,1020
"18","Contship","europe_and_asia",13,13337
"19","Cosco","europe_and_asia",84,62071
"20","CSC","europe_and_asia",5,5570
"21","CSCS","europe_and_asia",1,1138
"22","DL","europe_and_asia",3,1714
"23","DSR","europe_and_asia",42,19353
"24","EAC","europe_and_asia",1,2821
"25","EISC","europe_and_asia",4,852
"26","ENC","europe_and_asia",6,1909
"27","Evergreen","europe_and_asia",45,111448
"28","Hanjin","europe_and_asia",23,46183
"29","Hapag-Lloyd","europe_and_asia",22,41893
"30","India SS","europe_and_asia",1,339
"31","Jugolinija","europe_and_asia",24,15513
"32","K-Line","europe_and_asia",21,44864
"33","LT","europe_and_asia",6,6949
"34","Maersk","europe_and_asia",29,75422
"35","Marfret","europe_and_asia",4,1696
"36","Merzario","europe_and_asia",2,2871
"37","MISC","europe_and_asia",2,5540
"38","MOL","europe_and_asia",31,47592
"39","MSC","europe_and_asia",10,9037
"40","NCHP","europe_and_asia",4,3398
"41","Nedlloyd","europe_and_asia",24,22944
"42","NOL","europe_and_asia",11,28015
"43","Norasia","europe_and_asia",10,18514
"44","NSCSA","europe_and_asia",6,12700
"45","NYK","europe_and_asia",34,58396
"46","Omex","europe_and_asia",1,1948
"47","OOCL","europe_and_asia",18,47873
"48","P&O Containers","europe_and_asia",10,27163
"49","POL","europe_and_asia",22,14023
