"","owner","num_of_ships","cartel_member_dummy"
"1","3I plc",1,0
"2","650 Leasing",2,0
"3","650Leasing",1,0
"4","673 Leasing",1,0
"5","675 Leasing",1,0
"6","A Boltem(Greece)",1,0
"7","A Bolten",1,0
"8","A Bottacchi",5,0
"9","A Held",1,0
"10","A Hinsch",1,0
"11","A Klingenberg",1,0
"12","A Schepers",1,0
"13","A Weir",4,0
"14","A/B Nordsjofrakt",2,0
"15","A/S Norscon",1,0
"16","A/S Sassaby",1,0
"17","A/S Team Askoy",1,0
"18","AB Engship",1,0
"19","AB Nordsjofrakt",1,0
"20","ABB Credit Finans",1,0
"21","ABC",2,0
"22","Abidos Mar",1,0
"23","Aboitiz",8,0
"24","Aboitiz Jebsen Bulk",1,0
"25","Accord Line SA",2,0
"26","Accurate Mar",1,0
"27","ACE-Atlantic Cont Exp",1,0
"28","Achille Lauro Lines",1,0
"29","ACT Shpp(Pte)",4,0
"30","ACT Shpp(Pte)Ltd",2,0
"31","Adamstor Shpp",1,0
"32","Aden Trading SA",1,0
"33","Adler Shpp",1,0
"34","Admiral Lines",1,0
"35","Adriatica",4,0
"36","Aedennes Shpp",1,0
"37","African Trading Corp",1,0
"38","Agapanto Hold",1,0
"39","Agromar",3,0
"40","Ah Bosman",1,0
"41","Ahernkiel",1,0
"42","Ahlers",2,0
"43","Ahlers NV",1,0
"44","Ahlmarco Shpp",1,0
"45","Ahrenkiel",10,0
"46","Aimores Shpp",1,0
"47","Aismores Shpp Co",1,0
"48","AJCL",3,0
"49","Akak",1,0
"50","Akritas Shpp",1,0
"51","Al Baraka Investments",1,0
"52","Alands Sea  Activities",1,0
"53","Albatros Pacific",1,0
"54","Albatross Verwaltungs",1,0
"55","Alburo Maritime",1,0
"56","Alexander Schroeder",1,0
"57","Algenib Pte Ltd",1,0
"58","Alianca",15,0
"59","Alice Mar Co",1,0
"60","Aliki",1,0
"61","Alkaios",1,0
"62","All Ocean Shpp",1,0
"63","Allgaeu Shpp",1,0
"64","Allpoints Mar Inc",1,0
"65","Allseas International",1,0
"66","Alnautic NV",1,0
"67","Alpha Schiff",1,0
"68","Alpina",2,0
"69","Alster Nav",2,0
"70","Altamar Int Shpp",2,0
"71","Altonia Schiff",1,0
"72","Alvarez",1,0
"73","Alyaga",1,0
"74","Alyage Nav",1,0
"75","Amazonit Marine",1,0
"76","Amsouth Bank Inc",1,0
"77","Amsouth Bank NA",1,0
"78","AmTrans",2,0
"79","Anaconda Mar",1,0
"80","Anangel Apollo",1,0
"81","Anangel Ares",1,0
"82","Anangel Atlas",1,0
"83","Anangel Challenge",1,0
"84","Anangel Leader",1,0
"85","Anangel Okim",1,0
"86","Anangel Shpp",3,0
"87","Anangel Victory",1,0
"88","Andonis Mar",1,0
"89","Angel Shpp",1,0
"90","Angkutan",6,0
"91","Anglia Shpp Corp",1,0
"92","Angonave",2,0
"93","ANL",7,0
"94","Annico Mar Inc",1,0
"95","Anticlea Nav",1,0
"96","Antje",1,0
"97","Antwerp Bulk",2,0
"98","Antwerp Bulk Carriers",2,0
"99","Antwerp Mar",1,0
"100","Aocord Lines",1,0
"101","AP Moller",3,0
"102","AP Moller(Sing)",3,0
"103","AP Moller(Singapore)",1,0
"104","APL",17,0
"105","Apollo Tran",1,0
"106","Aqua Siren Shpp",1,0
"107","Aquapulse Mar",1,0
"108","Aquarian Devt",2,0
"109","Aquarius Carriers",1,0
"110","Aquarius Shipholding",1,0
"111","Aquitania Shpp",1,0
"112","Arabia For Mar Tran",1,0
"113","Arabian Maritime Lines",4,0
"114","Arctic Lighter",1,0
"115","Arctic Prince Shpp",2,0
"116","Arethousa Shpp",1,0
