"","service","num_of_ships","cartel_member_dummy"
"1","A Bottacchi",6,0
"2","A Bottacchi/Elma",4,0
"3","A Service",5,0
"4","AAE/Anline/OOCL/Yangming",5,0
"5","AAEL",4,0
"6","AB Sea Link",2,0
"7","AB Ship Link",1,0
"8","ABC",7,0
"9","Aboitiz",10,0
"10","Ace Group",9,0
"11","ACL/Hapag-Lloyd",7,0
"12","ACL/Hapag Lloyd",2,0
"13","ACS",4,0
"14","Admed",1,0
"15","Admiral Lines",1,0
"16","Adriatic",1,0
"17","Adriatic feeder",1,0
"18","Adriatica",2,0
"19","AEL/Senator",2,0
"20","AESL/MACS",5,0
"21","AFL",1,0
"22","Afrapacific",2,0
"23","Agromar",5,0
"24","Ahiers/KNSM/Latvian",1,0
"25","Ahlers/Finanglia",2,0
"26","Ahlers/Finncarriers",1,0
"27","AJCL/ESS/K ASS/MOL/NLS/NYK",1,0
"28","AJCL/ESS/KASS/MOL/NLS/NYK",1,0
"29","AJCL/ESS/MOL/NLS/NYK",4,0
"30","AJCL/ESS/MOL/NYK",1,0
"31","Akak",1,0
"32","Alamar Sud",2,0
"33","Alianca",10,0
"34","Aliberia",1,0
"35","Alinanca",1,0
"36","Alpina",1,0
"37","Alportugal",1,0
"38","ALS",6,0
"39","AMEP",4,0
"40","America Niugini",1,0
"41","AmTrans",8,0
"42","Anangel",4,0
"43","Andes",2,0
"44","Andromeda",4,0
"45","Angkutan",6,0
"46","Angoline",3,0
"47","Angonave",2,0
"48","ANL(coastal)",1,0
"49","ANL/Anzecs",12,0
"50","ANL/K-Line/Knuisen/MOL/NYK",1,0
"51","ANL/K-Line/Knutsen/MOL/NYK",1,0
"52","ANL/K-Line/MOL/NYK/Knutsen",1,0
"53","Anline",1,0
"54","Anro",7,0
"55","Antillean Line",1,0
"56","Antillean Marine",4,0
"57","ANZ/Anzecs",1,0
"58","ANZ/Med",1,0
"59","ANZDL",3,0
"60","Anzeca",1,0
"61","Anzecs",1,0
"62","Arabian Gulf Clipper",1,0
"63","Arctic Lighter",1,0
"64","Argomar",1,0
"65","Arimura Sangyo",1,0
"66","Arma Line",1,0
"67","Aros",4,0
"68","ARPA Shpp",1,0
"69","Arrow Lines",4,0
"70","Asadco",2,0
"71","ASAS",4,0
"72","Asitco-1",1,0
"73","Aspac",2,0
"74","ASS",1,0
"75","Assoc Levant",2,0
"76","Atlant Line",1,0
"77","Atlantic Cnt Ex",1,0
"78","Atlantic Cnt Exp",1,0
"79","Atlantic Searoute",2,0
"80","Atlantis",1,0
"81","Atlantska",1,0
"82","Atlas",1,0
"83","Atlas Shpp",3,0
"84","Atllantis",1,0
"85","AXCL",1,0
"86","AXCL Asia",1,0
"87","Azov",2,0
"88","B Service",4,0
"89","B&I",2,0
"90","Bali Hai",2,0
"91","Balsco",1,0
"92","Balt Austral",6,0
"93","Balt Canada",4,0
"94","Balt Orient",7,0
"95","Baltamcrica",1,0
"96","Baltamercia",1,0
"97","Baltamerica",5,0
"98","Bangladesh",7,0
"99","Bangladesh/BOCL/L&M Shpp",3,0
"100","Bangladshi/BOCL/L&M Shpp",1,0
"101","Barbican",3,0
"102","Barwil",1,0
"103","Barwil Express",1,0
"104","BBS/ScanCarriers/Troll",9,0
"105","BCL/US-Med/Service",1,0
"106","Beacon",4,0
"107","Belfast Freignt",1,0
"108","Bell",12,0
"109","Bell Ibcrica",1,0
"110","Belmed",1,0
"111","Ben/P&O Containers",2,0
"112","Benelux-Morocco/K NSM",2,0
"113","Benelux Poland",2,0
"114","Bengal Tiger",5,0
"115","Bermuda Cont",1,0
"116","Bermuda Intl",1,0
"117","Bernuth",4,0
"118","BHP",2,0
"119","Blasco",22,0
"120","Blasco Indosian",2,0
"121","Blasco Orient",2,0
"122","Blasco Oriental",5,0
"123","Blasco/CMN",1,0
"124","Blasco/Meridionale",1,0
"125","Blue Caribe",1,0
"126","Booth",2,0
"127","Borchard",6,0
"128","Borchard/Zim",2,0
"129","Bore Baltic Ferry",2,0
"130","Bore Continent",2,0
"131","Bore Ferry",2,0
"132","Bore Kiel",2,0
"133","Bougainville Copper",1,0
"134","Brambles",2,0
"135","Breakbulk Express",1,0
"136","Bremen Ostnorwegen Express",1,0
"137","Bridge Line",6,0
"138","Brit Line",1,0
"139","British Continental",4,0
"140","Brointermed",1,0
"141","Bruno Bisch/Horn/Litbuanian",1,0
"142","BSC",27,0
"143","BSC/Latvain/UBC",1,0
"144","BSC/UBC",1,0
"145","Bugsier",6,0
"146","Bulcon",4,0
"147","BWAL",2,0
"148","Cactus",1,0
"149","Calpso",1,0
"150","Caltram",2,0
"151","Camar",1,0
"152","Camogra",3,0
"153","Camship",3,0
"154","Canadian Tropic",2,0
"155","Canisa",2,0
"156","Capricorne A",6,0
"157","Capricorne B",3,0
"158","Carib feeder",1,0
"159","Caribtainer",2,0
"160","Carol",4,0
"161","Carrybox",2,0
"162","Carsacon",3,0
"163","Cast Blue Box",6,0
"164","Cast feeder",1,0
"165","Castle&Cook",2,0
"166","CAVN",8,0
"167","CAVN/FMG",1,0
"168","CB Marine",1,0
"169","CBTG",1,0
"170","CCAL",2,0
"171","CCL",3,0
"172","CCL/CCS",1,0
"173","CCL/CTE/d'Amico/Italia",1,0
"174","CCL/CTE/d@79Amico/Italia",1,0
"175","CCL/Iscont",1,0
"176","CCNI",2,0
"177","CCNI/Lykes",4,0
"178","CCS",6,0
"179","CCT",6,0
"180","CD",5,0
"181","CD/Comanav",2,0
"182","CE/CNM/Contship/DSR/Necol",5,0
"183","CE/ML/Prince",3,0
"184","Celtic Container",1,0
"185","Cenargo",1,0
"186","CGM",11,0
"187","CGM Interline",1,0
"188","CGM/GCL/Hapag-Lloyd",5,0
"189","CGM/H-L/ICT/Ned/Sea-Land/TFL",4,0
"190","CGM/H-L/Incotram/Ned/S-L/TFL",1,0
"191","CGM/H-L/Incotrans/Ned/S-L/TFL",1,0
"192","CGM/H0L/Inctrns/Ned/S-L/TFL",2,0
"193","CGM/Maersk",1,0
"194","CH Line",3,0
"195","Chief Container",5,0
"196","China Japan Ferry",1,0
"197","Chipolbrok",20,0
"198","Cho Yang",1,0
"199","Cho Yang/Hanjin",9,0
"200","Chu Kong",3,0
"201","Chun Kyung",2,0
"202","Ciamar",8,0
"203","Cie Polynesienne",1,0
"204","CIS",5,0
"205","CMA Gulf /FE",8,0
"206","CMA Gulf Feeder",1,0
"207","CMB Express",3,0
"208","CMB Indian",1,0
"209","CMB Indian Oc",1,0
"210","CMB Indian Ocean",8,0
"211","CMB/CMZ",3,0
"212","CMB/Nav",2,0
"213","CMB/Nav Pacifico",2,0
"214","CMCL",6,0
"215","CMN",3,0
"216","CMN/LB/TMM",3,0
"217","CMZ",1,0
"218","CNAN",5,0
"219","Coastal",4,0
"220","Cobelfret Ferries",6,0
"221","Cobenam",1,0
"222","Cobra",4,0
"223","Cobra/CSL",2,0
"224","Columbia Cont Barge",2,0
"225","Columbus",3,0
"226","Columbus/Pace",5,0
"227","Columbus/Pace(West)",6,0
"228","Comanav",11,0
"229","Comanav/Sius",2,0
"230","Comar",7,0
"231","Comedsa Line",2,0
"232","Comedsn Line",1,0
"233","Commodore",1,0
"234","Comodal/Lolisa",1,0
"235","Comtramar",1,0
"236","Comvelt",2,0
"237","Conade",1,0
"238","Conaven",1,0
"239","Conbulk Service",1,0
"240","Concord Express",10,0
"241","Concorde",2,0
"242","Condock",1,0
"243","Cono Sur",1,0
"244","Consortium Hispania Lines",4,0
"245","Constellation",2,0
"246","Containerships",1,0
"247","Contemaris",2,0
"248","Contenemar",9,0
"249","Contimar",2,0
"250","Cool Carriers",2,0
"251","Cormoran",2,0
"252","Coromandel",1,0
"253","Cosco",7,0
"254","Cosco Dalian",3,0
"255","Cosco Guangzhou",43,0
"256","Cosco Jiangxi",1,0
"257","Cosco Shanghai",47,0
"258","Cosco Tianjin",41,0
"259","Cosco Zhejiang",2,0
"260","Costa/d'Amico",1,0
"261","Cotunav",6,0
"262","County",1,0
"263","Cowac",6,0
"264","Cowac/Ukwal",4,0
"265","CPV",2,0
"266","CPV/Linabol",2,0
"267","CSAV",4,0
"268","CSAV/Neptuno",4,0
"269","CSC",4,0
"270","CSC/Sindbad",1,0
"271","CTC/Star Shpp",3,0
"272","CTE/Nedlloyd/Sea-Land/TFL",2,0
