"","vessel_name"
"1","Abacus"
"2","Abbay Wonz"
"3","Abedul"
"4","Abelia"
"5","Abitibi Claiborne"
"6","Abitibi Concord"
"7","Abitibi Macado"
"8","Abitibi Orinoco"
"9","Aboitiz Concarrier VI"
"10","Aboitiz Concarrier VIII"
"11","Aboitiz Concarrier X"
"12","Aboitiz Concarrier XI"
"13","Aboitiz Concarrier XII"
"14","Aboitiz Mergaconcarriew I"
"15","Aboitiz Superconcarrier I"
"16","Aboitiz Superconcarrier II"
"17","Aboitiz Superconcarrier III"
"18","Abu Egila"
"19","Abu Rdees"
"20","Abu Zenima"
"21","Abuqir"
"22","Abyot"
"23","Acacia"
"24","Ace Concord"
"25","Ace Container"
"26","Achilleus"
"27","Aconcagua"
"28","Aconcagua"
"29","Acor"
"30","Acritas"
"31","Act 1"
"32","Act 12"
"33","Act 2"
"34","Act 3"
"35","Act 4"
"36","Act 5"
"37","Act 6"
"38","Act 7"
"39","Act 8"
"40","Act 9"
"41","Actuaria"
"42","Ada"
"43","Ada Gorthon"
"44","Adabelle Lykes"
"45","Adam Mickiewiez"
"46","Addiriyah"
"47","Adelaide Express"
"48","Adele J"
"49","Adeline Delmas"
"50","Admiral Purisic"
"51","Admiral Ushakov"
"52","Admiralty Island"
"53","Adrian Maersk"
"54","Adriana del Mar"
"55","Adriatic Trader 1"
"56","Advance"
"57","Aetos"
"58","Africa"
"59","African Express"
"60","African Reefer"
"61","Agas"
"62","Agboville"
"63","Agean Express"
"64","Aghia Markella"
"65","Agios Andreas"
"66","Agios Nikolaos"
"67","Agostinho Neto"
"68","Ahlers Breeze"
"69","Aka Bhum"
"70","Akademik Gorbunov"
"71","Akademik Kuprevich"
"72","Akademik Millionschikov"
"73","Akademik Stechkin"
"74","Akademik Tupolev"
"75","Akak Star"
"76","Aken"
"77","Akritas"
"78","Al Ahmadiah"
"79","Al Battani"
"80","Al Hussein"
"81","Al Ihsa'a"
"82","Al Manakh"
"83","Al Mirqab"
"84","Al Shamiah"
"85","Al Wajba"
"86","Al Wattyah"
"87","Al Yamamah"
"88","Al-Salma"
"89","Al-Sana"
"90","Al-Swamruz"
"91","Al-Zahraa"
"92","Alafoss"
"93","Alain LD"
"94","Alalma"
"95","Alange"
"96","Alaska Maru"
"97","Alaska Trader"
"98","Alberni Dawn"
"99","Albert Maersk"
"100","Alblas"
"101","Alcoutim"
"102","Alcyon"
"103","Alcyone"
"104","Aldo"
"105","Alegria de Pio"
"106","Aleko Konstantinov"
"107","Aleksa Dundic"
"108","Aleksandr Fadeyev"
"109","Aleksandr Ognivtsev"
"110","Aleksandr Prokofyev"
"111","Aleksandr Tvardovskiy"
"112","Aleksey Chirikov"
"113","Aleksey Kosygin"
"114","Alemania Express"
"115","Alessandra"
"116","Alessia"
"117","Alex"
"118","Alexa"
"119","Alexa"
"120","Alexander"
"121","Alexandra"
"122","Alexandra"
"123","Alfer"
"124","Algalo"
"125","Algarmi"
